UniProt ID,Gene,Protein name,
P47895,ALDH1A3,Retinaldehyde dehydrogenase 3,
P47928,ID4,DNA-binding protein inhibitor ID-4,
P47929,LGALS7,,
P47972,NPTX2,Neuronal pentraxin-2,
P47992,XCL1,Lymphotactin,
P48023,FASLG,Tumor necrosis factor ligand superfamily member 6,
P48047,ATP5PO,ATP synthase subunit O,
P48052,CPA2,Carboxypeptidase A2,
P48060,GLIPR1,Glioma pathogenesis-related protein 1,
P48165,GJA8,Gap junction alpha-8 protein,
P48169,GABRA4,Gamma-aminobutyric acid receptor subunit alpha-4,
P48304,REG1B,Lithostathine-1-beta,
P48307,TFPI2,Tissue factor pathway inhibitor 2,
P48357,LEPR,Leptin receptor,
P48378,RFX2,DNA-binding protein RFX2,
P48382,RFX5,DNA-binding protein RFX5,
P48431,SOX2,Transcription factor SOX-2,
P48436,SOX9,Transcription factor SOX-9,
P48507,GCLM,Glutamate--cysteine ligase regulatory subunit,
P48546,GIPR,Gastric inhibitory polypeptide receptor,
P48551,IFNAR2,Interferon alpha/beta receptor 2,
P48594,SERPINB4,Serpin B4,
P48643,CCT5,T-complex protein 1 subunit epsilon,
P48668,KRT6C,Keratin,
P48723,HSPA13,Heat shock 70 kDa protein 13,
P48730,CSNK1D,Casein kinase I isoform delta,
P48740,MASP1,Mannan-binding lectin serine protease 1,
P48742,LHX1,LIM/homeobox protein Lhx1,
P48745,CCN3,CCN family member 3,
P48775,TDO2,Tryptophan 2,
P48960,ADGRE5,Adhesion G protein-coupled receptor E5,
P49023,PXN,Paxillin,
P49069,CAMLG,Guided entry of tail-anchored proteins factor CAMLG,
P49116,NR2C2,Nuclear receptor subfamily 2 group C member 2,
P49137,MAPKAPK2,MAP kinase-activated protein kinase 2,
P49189,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase,
P49223,SPINT3,Kunitz-type protease inhibitor 3,
P49354,FNTA,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,
P49366,DHPS,Deoxyhypusine synthase,
P49441,INPP1,Inositol polyphosphate 1-phosphatase,
P49454,CENPF,Centromere protein F,
P49585,PCYT1A,Choline-phosphate cytidylyltransferase A,
P49593,PPM1F,Protein phosphatase 1F,
P49642,PRIM1,DNA primase small subunit,
P49662,CASP4,Caspase-4,
P49675,STAR,Steroidogenic acute regulatory protein,
P49715,CEBPA,CCAAT/enhancer-binding protein alpha,
P49747,COMP,Cartilage oligomeric matrix protein,
P49754,VPS41,Vacuolar protein sorting-associated protein 41 homolog,
P49755,TMED10,Transmembrane emp24 domain-containing protein 10,
P49756,RBM25,RNA-binding protein 25,
P49757,NUMB,Protein numb homolog,
P49758,RGS6,Regulator of G-protein signaling 6,
P49761,CLK3,Dual specificity protein kinase CLK3,
P49763,PGF,Placenta growth factor,
P49765,VEGFB,Vascular endothelial growth factor B,
P49767,VEGFC,Vascular endothelial growth factor C,
P49771,FLT3LG,Fms-related tyrosine kinase 3 ligand,
P49788,RARRES1,Retinoic acid receptor responder protein 1,
P49789,FHIT,Bis(5'-adenosyl)-triphosphatase,
P49792,RANBP2,E3 SUMO-protein ligase RanBP2,
P49796,RGS3,Regulator of G-protein signaling 3,
P49798,RGS4,Regulator of G-protein signaling 4,
P49862,KLK7,Kallikrein-7,
P49888,SULT1E1,Sulfotransferase 1E1,
P49901,SMCP,Sperm mitochondrial-associated cysteine-rich protein,
P49908,SELENOP,Selenoprotein P,
P49916,LIG3,DNA ligase 3,
P49918,CDKN1C,Cyclin-dependent kinase inhibitor 1C,
P50053,KHK,Ketohexokinase,
P50120,RBP2,Retinol-binding protein 2,
P50135,HNMT,Histamine N-methyltransferase,
P50221,MEOX1,Homeobox protein MOX-1,
P50225,SULT1A1,Sulfotransferase 1A1,
P50452,SERPINB8,Serpin B8,
P50453,SERPINB9,Serpin B9,
P50454,SERPINH1,Serpin H1,
P50458,LHX2,LIM/homeobox protein Lhx2,
P50461,CSRP3,Cysteine and glycine-rich protein 3,
P50502,ST13,Hsc70-interacting protein,
P50548,ERF,ETS domain-containing transcription factor ERF,
P50552,VASP,Vasodilator-stimulated phosphoprotein,
P50553,ASCL1,Achaete-scute homolog 1,
P50579,METAP2,Methionine aminopeptidase 2,
P50583,NUDT2,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],
P50591,TNFSF10,Tumor necrosis factor ligand superfamily member 10,
P50749,RASSF2,Ras association domain-containing protein 2,
P50851,LRBA,Lipopolysaccharide-responsive and beige-like anchor protein,
P50895,BCAM,Basal cell adhesion molecule,
P50897,PPT1,Palmitoyl-protein thioesterase 1,
P50914,RPL14,Large ribosomal subunit protein eL14,
P50995,ANXA11,Annexin A11,
P51161,FABP6,Gastrotropin,
P51178,PLCD1,1-phosphatidylinositol 4,
P51397,DAP,Death-associated protein 1,
P51452,DUSP3,Dual specificity protein phosphatase 3,
P51460,INSL3,Insulin-like 3,
P51511,MMP15,Matrix metalloproteinase-15,
P51513,NOVA1,RNA-binding protein Nova-1,
P51531,SMARCA2,Probable global transcription activator SNF2L2,
P51532,SMARCA4,Transcription activator BRG1,
P51580,TPMT,Thiopurine S-methyltransferase,
P51606,RENBP,N-acylglucosamine 2-epimerase,
P51617,IRAK1,Interleukin-1 receptor-associated kinase 1,
P51649,ALDH5A1,Succinate-semialdehyde dehydrogenase,
P51671,CCL11,Eotaxin,
P51687,SUOX,Sulfite oxidase,
P51688,SGSH,N-sulphoglucosamine sulphohydrolase,
P51692,STAT5B,Signal transducer and activator of transcription 5B,
P51693,APLP1,Amyloid beta precursor like protein 1,
P51784,USP11,Ubiquitin carboxyl-terminal hydrolase 11,
P51808,DYNLT3,Dynein light chain Tctex-type 3,
P51815,ZNF75D,Zinc finger protein 75D,
P51858,HDGF,Hepatoma-derived growth factor,
P51884,LUM,Lumican,
P51888,PRELP,Prolargin,
P51948,MNAT1,CDK-activating kinase assembly factor MAT1,
P51955,NEK2,Serine/threonine-protein kinase Nek2,
P51956,NEK3,Serine/threonine-protein kinase Nek3,
P51957,NEK4,Serine/threonine-protein kinase Nek4,
P52179,MYOM1,Myomesin-1,
P52209,PGD,6-phosphogluconate dehydrogenase,
P52306,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1,
P52564,MAP2K6,Dual specificity mitogen-activated protein kinase kinase 6,
P52630,STAT2,Signal transducer and activator of transcription 2,
P52739,ZNF131,Zinc finger protein 131,
P52758,RIDA,2-iminobutanoate/2-iminopropanoate deaminase,
P52788,SMS,Spermine synthase,
P52789,HK2,Hexokinase-2,
P52798,EFNA4,Ephrin-A4,
P52799,EFNB2,Ephrin-B2,
P52823,STC1,Stanniocalcin-1,
P52848,NDST1,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1,
P52888,THOP1,Thimet oligopeptidase,
P52943,CRIP2,Cysteine-rich protein 2,
P53004,BLVRA,Biliverdin reductase A,
P53367,ARFIP1,Arfaptin-1,
P53384,NUBP1,Cytosolic Fe-S cluster assembly factor NUBP1,
P53420,COL4A4,Collagen alpha-4(IV) chain,
P53539,FOSB,Protein FosB,
P53582,METAP1,Methionine aminopeptidase 1,
P53634,CTSC,Dipeptidyl peptidase 1,
P53674,CRYBB1,Beta-crystallin B1,
P53675,CLTCL1,Clathrin heavy chain 2,
P53778,MAPK12,Mitogen-activated protein kinase 12,
P53814,SMTN,Smoothelin,
P53816,PLAAT3,Phospholipase A and acyltransferase 3,
P53985,SLC16A1,Monocarboxylate transporter 1,
P53990,IST1,IST1 homolog,
P54105,CLNS1A,Methylosome subunit pICln,
P54108,CRISP3,Cysteine-rich secretory protein 3,
P54132,BLM,RecQ-like DNA helicase BLM,
P54252,ATXN3,Ataxin-3,
P54253,ATXN1,Ataxin-1,
P54274,TERF1,Telomeric repeat-binding factor 1,
P54277,PMS1,PMS1 protein homolog 1,
P54284,CACNB3,Voltage-dependent L-type calcium channel subunit beta-3,
P54296,MYOM2,Myomesin-2,
P54315,PNLIPRP1,Inactive pancreatic lipase-related protein 1,
P54317,PNLIPRP2,Pancreatic lipase-related protein 2,
P54577,YARS1,Tyrosine--tRNA ligase,
P54652,HSPA2,Heat shock-related 70 kDa protein 2,
P54687,BCAT1,Branched-chain-amino-acid aminotransferase,
P54709,ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3,
P54727,RAD23B,UV excision repair protein RAD23 homolog B,
P54750,PDE1A,Dual specificity calcium/calmodulin-dependent 3',
P54760,EPHB4,Ephrin type-B receptor 4,
P54764,EPHA4,Ephrin type-A receptor 4,
P54819,AK2,Adenylate kinase 2,
P54826,GAS1,Growth arrest-specific protein 1,
P55000,SLURP1,Secreted Ly-6/uPAR-related protein 1,
P55008,AIF1,Allograft inflammatory factor 1,
P55010,EIF5,Eukaryotic translation initiation factor 5,
P55011,SLC12A2,Solute carrier family 12 member 2,
P55039,DRG2,Developmentally-regulated GTP-binding protein 2,
P55058,PLTP,Phospholipid transfer protein,
P55082,MFAP3,Microfibril-associated glycoprotein 3,
P55083,MFAP4,Microfibril-associated glycoprotein 4,
P55103,INHBC,Inhibin beta C chain,
P55145,MANF,Mesencephalic astrocyte-derived neurotrophic factor,
P55201,BRPF1,Peregrin,
P55210,CASP7,Caspase-7,
P55211,CASP9,Caspase-9,
P55259,GP2,Pancreatic secretory granule membrane major glycoprotein GP2,
P55268,LAMB2,Laminin subunit beta-2,
P55273,CDKN2D,Cyclin-dependent kinase 4 inhibitor D,
P55283,CDH4,Cadherin-4,
P55285,CDH6,Cadherin-6,
P55289,CDH12,Cadherin-12,
P55291,CDH15,Cadherin-15,
P55316,FOXG1,Forkhead box protein G1,
P55318,FOXA3,Hepatocyte nuclear factor 3-gamma,
P55327,TPD52,Tumor protein D52,
P55735,SEC13,Protein SEC13 homolog,
P55769,SNU13,NHP2-like protein 1,
P55773,CCL23,C-C motif chemokine 23,
P55774,CCL18,C-C motif chemokine 18,
P55789,GFER,FAD-linked sulfhydryl oxidase ALR,
P55808,XG,Glycoprotein Xg,
P55809,OXCT1,Succinyl-CoA:3-ketoacid coenzyme A transferase 1,
P56159,GFRA1,GDNF family receptor alpha-1,
P56182,RRP1,Ribosomal RNA processing protein 1 homolog A,
P56192,MARS1,Methionine--tRNA ligase,
P56202,CTSW,Cathepsin W,
P56279,TCL1A,T-cell leukemia/lymphoma protein 1A,
P56470,LGALS4,Galectin-4,
P56559,ARL4C,ADP-ribosylation factor-like protein 4C,
P56645,PER3,Period circadian protein homolog 3,
P56715,RP1,Oxygen-regulated protein 1,
P56817,BACE1,Beta-secretase 1,
P56851,EDDM3B,Epididymal secretory protein E3-beta,
P56962,STX17,Syntaxin-17,
P56975,NRG3,Pro-neuregulin-3,
P57058,HUNK,Hormonally up-regulated neu tumor-associated kinase,
P57073,SOX8,Transcription factor SOX-8,
P57075,UBASH3A,Ubiquitin-associated and SH3 domain-containing protein A,
P57078,RIPK4,Receptor-interacting serine/threonine-protein kinase 4,
P57087,JAM2,Junctional adhesion molecule B,
P57729,RAB38,Ras-related protein Rab-38,
P57764,GSDMD,Gasdermin-D,
P57771,RGS8,Regulator of G-protein signaling 8,
P57796,CABP4,Calcium-binding protein 4,
P58062,SPINK7,Serine protease inhibitor Kazal-type 7,
P58107,EPPK1,Epiplakin,
P58294,PROK1,Prokineticin-1,
P58340,MLF1,Myeloid leukemia factor 1,
P58400,NRXN1,Neurexin-1-beta,
P58417,NXPH1,Neurexophilin-1,
P58499,FAM3B,Protein FAM3B,
P58546,MTPN,Myotrophin,
P58658,EVA1C,Protein eva-1 homolog C,
P59282,TPPP2,Tubulin polymerization-promoting protein family member 2,
P59665,DEFA1,,
P59780,AP3S2,AP-3 complex subunit sigma-2,
P59901,LILRA4,Leukocyte immunoglobulin-like receptor subfamily A member 4,
P59910,DNAJB13,DnaJ homolog subfamily B member 13,
P60022,DEFB1,Beta-defensin 1,
P60153,RNASE9,Inactive ribonuclease-like protein 9,
P60201,PLP1,Myelin proteolipid protein,
P60484,PTEN,Phosphatidylinositol 3,
P60568,IL2,Interleukin-2,
P60763,RAC3,Ras-related C3 botulinum toxin substrate 3,
P60880,SNAP25,Synaptosomal-associated protein 25,
P61026,RAB10,Ras-related protein Rab-10,
P61129,ZC3H6,Zinc finger CCCH domain-containing protein 6,
P61218,POLR2F,DNA-directed RNA polymerases I,
P61244,MAX,Protein max,
P61266,STX1B,Syntaxin-1B,
P61328,FGF12,Fibroblast growth factor 12,
P61366,OSTN,Osteocrin,
P61371,ISL1,Insulin gene enhancer protein ISL-1,
P61421,ATP6V0D1,V-type proton ATPase subunit d 1,
P61457,PCBD1,Pterin-4-alpha-carbinolamine dehydratase,
P61587,RND3,Rho-related GTP-binding protein RhoE,
P61647,ST8SIA6,Alpha-2,
P61764,STXBP1,Syntaxin-binding protein 1,
P61769,B2M,Beta-2-microglobulin,
P61812,TGFB2,Transforming growth factor beta-2 proprotein,
P61916,NPC2,NPC intracellular cholesterol transporter 2,
P61923,COPZ1,Coatomer subunit zeta-1,
P61968,LMO4,LIM domain transcription factor LMO4,
P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,
P62072,TIMM10,Mitochondrial import inner membrane translocase subunit Tim10,
P62166,NCS1,Neuronal calcium sensor 1,
P62316,SNRPD2,Small nuclear ribonucleoprotein Sm D2,
P62330,ARF6,ADP-ribosylation factor 6,
P62491,RAB11A,Ras-related protein Rab-11A,
P62684,HERVK_113,Endogenous retrovirus group K member 113 Gag polyprotein,
P62736,ACTA2,Actin,
P62760,VSNL1,Visinin-like protein 1,
P62834,RAP1A,Ras-related protein Rap-1A,
P62837,UBE2D2,Ubiquitin-conjugating enzyme E2 D2,
P62987,UBA52,Ubiquitin-ribosomal protein eL40 fusion protein,
P63010,AP2B1,AP-2 complex subunit beta,
P63098,PPP3R1,Calcineurin subunit B type 1,
P63121,HERVK_113,Endogenous retrovirus group K member 113 Pro protein,
P63146,UBE2B,Ubiquitin-conjugating enzyme E2 B,
P63165,SUMO1,Small ubiquitin-related modifier 1,
P63172,DYNLT1,Dynein light chain Tctex-type 1,
P63211,GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,
P63241,EIF5A,Eukaryotic translation initiation factor 5A-1,
P63267,ACTG2,Actin,
P63313,TMSB10,Thymosin beta-10,
P63316,TNNC1,Troponin C,
P68106,FKBP1B,Peptidyl-prolyl cis-trans isomerase FKBP1B,
P68400,CSNK2A1,Casein kinase II subunit alpha,
P68543,UBXN2A,UBX domain-containing protein 2A,
P69892,HBG2,Hemoglobin subunit gamma-2,
P78310,CXADR,Coxsackievirus and adenovirus receptor,
P78312,FAM193A,Protein FAM193A,
P78317,RNF4,E3 ubiquitin-protein ligase RNF4,
P78318,IGBP1,Immunoglobulin-binding protein 1,
P78324,SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1,
P78325,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,
P78333,GPC5,Glypican-5,
P78346,RPP30,Ribonuclease P protein subunit p30,
P78352,DLG4,Disks large homolog 4,
P78358,CTAG1A,,
P78362,SRPK2,SRSF protein kinase 2,
P78368,CSNK1G2,Casein kinase I isoform gamma-2,
P78380,OLR1,Oxidized low-density lipoprotein receptor 1,
P78395,PRAME,Melanoma antigen preferentially expressed in tumors,
P78410,BTN3A2,Butyrophilin subfamily 3 member A2,
P78423,CX3CL1,Fractalkine,
P78524,DENND2B,DENN domain-containing protein 2B,
P78539,SRPX,Sushi repeat-containing protein SRPX,
P78540,ARG2,Arginase-2,
P78549,NTHL1,Endonuclease III-like protein 1,
P78552,IL13RA1,Interleukin-13 receptor subunit alpha-1,
P78556,CCL20,C-C motif chemokine 20,
P78560,CRADD,Death domain-containing protein CRADD,
P79522,PRR3,Proline-rich protein 3,
P80075,CCL8,C-C motif chemokine 8,
P80098,CCL7,C-C motif chemokine 7,
P80162,CXCL6,C-X-C motif chemokine 6,
P80188,LCN2,Neutrophil gelatinase-associated lipocalin,
P80303,NUCB2,Nucleobindin-2,
P80370,DLK1,Protein delta homolog 1,
P80511,S100A12,Protein S100-A12,
P81133,SIM1,Single-minded homolog 1,
P81534,DEFB103A,,
P82094,TMF1,TATA element modulatory factor,
P82980,RBP5,Retinol-binding protein 5,
P83436,COG7,Conserved oligomeric Golgi complex subunit 7,
P84022,SMAD3,Mothers against decapentaplegic homolog 3,
P84550,SKOR1,SKI family transcriptional corepressor 1,
P85299,PRR5,Proline-rich protein 5,
P86397,HTD2,Hydroxyacyl-thioester dehydratase type 2,
P86452,ZBED6,Zinc finger BED domain-containing protein 6,
P86481,PRR20B,Proline-rich protein 20B,
P86496,PRR20A,Proline-rich protein 20A,
P98066,TNFAIP6,Tumor necrosis factor-inducible gene 6 protein,
P98073,TMPRSS15,Enteropeptidase,
P98082,DAB2,Disabled homolog 2,
P98095,FBLN2,Fibulin-2,
P98160,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,
P98161,PKD1,Polycystin-1,
P98164,LRP2,Low-density lipoprotein receptor-related protein 2,
P98170,XIAP,E3 ubiquitin-protein ligase XIAP,
P98179,RBM3,RNA-binding protein 3,
P98194,ATP2C1,Calcium-transporting ATPase type 2C member 1,
Q00059,TFAM,Transcription factor A,
Q00537,CDK17,Cyclin-dependent kinase 17,
Q00587,CDC42EP1,Cdc42 effector protein 1,
Q00653,NFKB2,Nuclear factor NF-kappa-B p100 subunit,
Q00722,PLCB2,1-phosphatidylinositol 4,
Q00796,SORD,Sorbitol dehydrogenase,
Q00872,MYBPC1,Myosin-binding protein C,
Q00994,BEX3,Protein BEX3,
Q01113,IL9R,Interleukin-9 receptor,
Q01151,CD83,CD83 antigen,
Q01167,FOXK2,Forkhead box protein K2,
Q01201,RELB,Transcription factor RelB,
Q01344,IL5RA,Interleukin-5 receptor subunit alpha,
Q01415,GALK2,N-acetylgalactosamine kinase,
Q01432,AMPD3,AMP deaminase 3,
Q01459,CTBS,Di-N-acetylchitobiase,
Q01469,FABP5,Fatty acid-binding protein 5,
Q01484,ANK2,Ankyrin-2,
Q01543,FLI1,Friend leukemia integration 1 transcription factor,
Q01581,HMGCS1,Hydroxymethylglutaryl-CoA synthase,
Q01638,IL1RL1,Interleukin-1 receptor-like 1,
Q01780,EXOSC10,Exosome complex component 10,
Q01804,OTUD4,OTU domain-containing protein 4,
Q01826,SATB1,DNA-binding protein SATB1,
Q01954,BNC1,Zinc finger protein basonuclin-1,
Q01973,ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1,
Q01974,ROR2,Tyrosine-protein kinase transmembrane receptor ROR2,
Q02045,MYL5,Myosin light chain 5,
Q02083,NAAA,N-acylethanolamine-hydrolyzing acid amidase,
Q02127,DHODH,Dihydroorotate dehydrogenase (quinone),
Q02223,TNFRSF17,Tumor necrosis factor receptor superfamily member 17,
Q02246,CNTN2,Contactin-2,
Q02363,ID2,DNA-binding protein inhibitor ID-2,
Q02447,SP3,Transcription factor Sp3,
Q02487,DSC2,Desmocollin-2,
Q02505,MUC3A,Mucin-3A,
Q02539,H1-1,Histone H1.1,
Q02641,CACNB1,Voltage-dependent L-type calcium channel subunit beta-1,
Q02643,GHRHR,Growth hormone-releasing hormone receptor,
Q02742,GCNT1,Beta-1,
Q02747,GUCA2A,Guanylin,
Q02750,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,
Q02763,TEK,Angiopoietin-1 receptor,
Q02790,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4,
Q02817,MUC2,Mucin-2,
Q02833,RASSF7,Ras association domain-containing protein 7,
Q02880,TOP2B,DNA topoisomerase 2-beta,
Q02952,AKAP12,A-kinase anchor protein 12,
Q03013,GSTM4,Glutathione S-transferase Mu 4,
Q03014,HHEX,Hematopoietically-expressed homeobox protein HHEX,
Q03111,MLLT1,Protein ENL,
Q03154,ACY1,Aminoacylase-1,
Q03167,TGFBR3,Transforming growth factor beta receptor type 3,
Q03169,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,
Q03252,LMNB2,Lamin-B2,
Q03393,PTS,6-pyruvoyl tetrahydrobiopterin synthase,
Q03403,TFF2,Trefoil factor 2,
Q03405,PLAUR,Urokinase plasminogen activator surface receptor,
Q03426,MVK,Mevalonate kinase,
Q03431,PTH1R,Parathyroid hormone/parathyroid hormone-related peptide receptor,
Q03518,TAP1,Antigen peptide transporter 1,
Q03721,KCNC4,Potassium voltage-gated channel subfamily C member 4,
Q03828,EVX2,Homeobox even-skipped homolog protein 2,
Q03989,ARID5A,AT-rich interactive domain-containing protein 5A,
Q04323,UBXN1,UBX domain-containing protein 1,
Q04609,FOLH1,Glutamate carboxypeptidase 2,
Q04637,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,
Q04695,KRT17,Keratin,
Q04721,NOTCH2,Neurogenic locus notch homolog protein 2,
Q04725,TLE2,Transducin-like enhancer protein 2,
Q04756,HGFAC,Hepatocyte growth factor activator,
Q04759,PRKCQ,Protein kinase C theta type,
Q04760,GLO1,Lactoylglutathione lyase,
Q04837,SSBP1,Single-stranded DNA-binding protein,
Q04900,CD164,Sialomucin core protein 24,
Q04912,MST1R,Macrophage-stimulating protein receptor,
Q05066,SRY,Sex-determining region Y protein,
Q05084,ICA1,Islet cell autoantigen 1,
Q05193,DNM1,Dynamin-1,
Q05315,CLC,Galectin-10,
Q05329,GAD2,Glutamate decarboxylase 2,
Q05516,ZBTB16,Zinc finger and BTB domain-containing protein 16,
Q05925,EN1,Homeobox protein engrailed-1,
Q05D32,CTDSPL2,CTD small phosphatase-like protein 2,
Q05D60,DEUP1,Deuterosome assembly protein 1,
Q06033,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,
Q06124,PTPN11,Tyrosine-protein phosphatase non-receptor type 11,
Q06141,REG3A,Regenerating islet-derived protein 3-alpha,
Q06323,PSME1,Proteasome activator complex subunit 1,
Q06413,MEF2C,Myocyte-specific enhancer factor 2C,
Q06418,TYRO3,Tyrosine-protein kinase receptor TYRO3,
Q06520,SULT2A1,Sulfotransferase 2A1,
Q06609,RAD51,DNA repair protein RAD51 homolog 1,
Q06643,LTB,Lymphotoxin-beta,
Q06787,FMR1,Fragile X messenger ribonucleoprotein 1,
Q06830,PRDX1,Peroxiredoxin-1,
Q06945,SOX4,Transcription factor SOX-4,
Q07011,TNFRSF9,Tumor necrosis factor receptor superfamily member 9,
Q07021,C1QBP,Complement component 1 Q subcomponent-binding protein,
Q07065,CKAP4,Cytoskeleton-associated protein 4,
Q07075,ENPEP,Glutamyl aminopeptidase,
Q07108,CD69,Early activation antigen CD69,
Q07283,TCHH,Trichohyalin,
Q07325,CXCL9,C-X-C motif chemokine 9,
Q07507,DPT,Dermatopontin,
Q07617,SPAG1,Sperm-associated antigen 1,
Q07654,TFF3,Trefoil factor 3,
Q07812,BAX,Apoptosis regulator BAX,
Q07817,BCL2L1,Bcl-2-like protein 1,
Q07954,LRP1,Prolow-density lipoprotein receptor-related protein 1,
Q07960,ARHGAP1,Rho GTPase-activating protein 1,
Q07973,CYP24A1,1,
Q08209,PPP3CA,Protein phosphatase 3 catalytic subunit alpha,
Q08334,IL10RB,Interleukin-10 receptor subunit beta,
